RESULT_COUNT: 473,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
EXAS,EXAS:US,BBG000CWL0F5,"Zacks.com featured highlights include Nintendo Co., Exact Sciences, Tabula Rasa Healthcare, Facebook and Nova Measuring Instruments",2017-10-18 13:20:01 +0000,https://finance.yahoo.com/news/zacks-com-featured-highlights-nintendo-132001585.html?.tsrc=rss,"Zacks.com featured highlights include Nintendo Co., Exact Sciences, Tabula Rasa Healthcare, Facebook and Nova Measuring Instruments"
EXAS,EXAS:US,BBG000CWL0F5,5 Top-Ranked Profitable Stocks to Boost Your Portfolio,2017-10-17 16:54:55 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/AVNr8AclGYE/5-top-ranked-profitable-stocks-to-boost-your-portfolio-cm860821,Profitability analysis is used to measure the company s ability to manage its revenues effectively and provide stunning returns to its investors This analysis helps to detect a profitable company over a loss making one The most successful way to identify a company s profitability is by
EXAS,EXAS:US,BBG000CWL0F5,Inovio Initiates Bladder Cancer Study With Roche's Tecentriq,2017-10-17 16:53:45 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/OuYnPS4RTFM/inovio-initiates-bladder-cancer-study-with-roches-tecentriq-cm860802,Inovio Pharmaceuticals Inc INO announced that it has initiated a phase Ib II study to evaluate the combination of two immunotherapy candidates and Roche Holding AG s RHHBY anti PDL1 inhibitor Tecentriq in advanced bladder cancer Inovio s candidates include INO 5401 a T cell
EXAS,EXAS:US,BBG000CWL0F5,See what the IHS Markit Score report has to say about Exact Sciences Corp.,2017-10-17 12:01:52 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120152818.html?.tsrc=rss,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Healthcare sector is rising."
EXAS,EXAS:US,BBG000CWL0F5,"EXACT Sciences Corp. Moves Up In Market Cap Rank, Passing Mattel",2017-10-16 22:17:08 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/E2e1MAfhsN4/exact-sciences-corp-moves-up-in-market-cap-rank-passing-mattel-cm860366,In the latest look at stocks ordered by largest market capitalization Russell 3000 component EXACT Sciences Corp Symbol EXAS was identified as having a larger market cap than the smaller end of the S amp P 500 for example Mattel Inc Symbol MAT according to The Online Investor
EXAS,EXAS:US,BBG000CWL0F5,See what the IHS Markit Score report has to say about Exact Sciences Corp.,2017-10-16 13:41:15 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-134115635.html?.tsrc=rss,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Healthcare sector is rising."
EXAS,EXAS:US,BBG000CWL0F5,"IWO, EXAS, CTLT, KNX: Large Inflows Detected at ETF",2017-10-13 16:10:34 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/jU2v2GSQTYs/iwo-exas-ctlt-knx-large-inflows-detected-at-etf-cm859390,Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel one standout is the iShares Russell 2000 Growth ETF Symbol IWO where we have detected an approximate 90 4 million dollar inflow that s a 1 0 increase week over week in
EXAS,EXAS:US,BBG000CWL0F5,Exact Sciences Stock Just Hit an All-Time High: Here's Why It Could Go Even Higher,2017-10-13 13:16:20 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/qsGq0c4hZgA/exact-sciences-stock-just-hit-an-all-time-high-heres-why-it-could-go-even-higher-cm859233,In May Andrew Left of Citron Research blasted Exact Sciences NASDAQ EXAS calling the stock a poster child for what goes wrong when Wall Street gets a hold of a healthcare concept with no discrimination for whether it s good or bad medicine Citron Research assigned a short
EXAS,EXAS:US,BBG000CWL0F5,Exact Sciences Stock Just Hit an All-Time High: Here&apos;s Why It Could Go Even Higher,2017-10-13 11:16:00 +0000,https://finance.yahoo.com/news/exact-sciences-stock-just-hit-111600546.html?.tsrc=rss,There&apos;s still a huge untapped market for this company&apos;s DNA screening test.
EXAS,EXAS:US,BBG000CWL0F5,EXACT Sciences Corp. (EXAS) Is Losing Ground In Early Trade,2017-10-13 09:41:00 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/o8rhG2RNrf0/exact-sciences-corp-exas-is-losing-ground-in-early-trade-20171013-00490,EXACT Sciences Corp. (EXAS) Is Losing Ground In Early Trade
EXAS,EXAS:US,BBG000CWL0F5,Pluristem Therapeutics Inc. (PSTI) Catches Eye: Stock Jumps 5.1%,2017-10-11 14:15:53 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/L-QZB2m_z4c/pluristem-therapeutics-inc-psti-catches-eye-stock-jumps-51-cm858140,Pluristem Therapeutics Inc PSTI was a big mover last session as the company saw its shares rise over 5 on the day The move came on solid volume too with far more shares changing hands than in a normal session This stock which remained volatile and traded within the range of 1 23 1 56
EXAS,EXAS:US,BBG000CWL0F5,MiMedx Group (MDXG) Looks Good: Stock Adds 5.4% in Session,2017-10-11 12:52:12 +0000,https://finance.yahoo.com/news/mimedx-group-mdxg-looks-good-125212352.html?.tsrc=rss,"MiMedx Group (MDXG) saw a big move last session, as its shares jumped more than 5% on the day, amid huge volumes."
EXAS,EXAS:US,BBG000CWL0F5,Exact Sciences schedules third-quarter 2017 earnings call,2017-10-10 10:00:00 +0000,https://finance.yahoo.com/news/exact-sciences-schedules-third-quarter-100000470.html?.tsrc=rss,"MADISON, Wis., Oct. 10, 2017 /PRNewswire/ -- Exact Sciences Corp. (EXAS) today announced that the company plans to release its third-quarter 2017 financial results after the close of the U.S. financial markets on Oct. 31.  Following the release, the company's management will host a webcast and conference call at 5 p.m. Eastern time to discuss financial results and business progress."
EXAS,EXAS:US,BBG000CWL0F5,See what the IHS Markit Score report has to say about Exact Sciences Corp.,2017-10-09 12:04:33 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120433820.html?.tsrc=rss,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Healthcare sector is rising."
EXAS,EXAS:US,BBG000CWL0F5,Ignore Citron Report and Use This Dip to Buy Shopify Inc (US) (SHOP) Stock,2017-10-06 09:00:32 +0000,https://finance.yahoo.com/news/ignore-citron-report-dip-buy-090032601.html?.tsrc=rss,"Timing is everything in the stock market.  On Wednesday morning, I called Shopify Inc (US) (NYSE:SHOP) the most exciting stock in the market.  SHOP stock plunged more than 11% following Citron’s report, and another 4% yesterday, to hover right around the critical $100 level."
EXAS,EXAS:US,BBG000CWL0F5,Why EXACT Sciences Corporation Jumped 13.2% in September,2017-10-06 00:47:40 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/XvBP8eIKnW4/why-exact-sciences-corporation-jumped-132-in-september-cm856038,What happened Shares of EXACT Sciences NASDAQ EXAS a diagnostics company focused on colon cancer rose more than 13 in September according to data from S amp P Global Market Intelligence While it was a quiet month on the news front an analyst at Leerink Partners
EXAS,EXAS:US,BBG000CWL0F5,Exact Sciences: Going…Up!,2017-10-03 19:44:00 +0000,http://finance.yahoo.com/r/503559ee-2f7d-37b0-9f76-5fe4cd00dea0/exact-sciences-goingup-1507059840?mod=yahoobarrons&ru=yahoo&yptr=yahoo&.tsrc=rss,Shares of Exact Sciences (EXAS) have more than tripled so far this year this year as investors started betting that it's colorectal cancer test would go from a niche product to a mainstream one. And one ...
EXAS,EXAS:US,BBG000CWL0F5,"Atlas Genetics Appoints Life Sciences Veteran, Jeffrey Luber, as Chief Executive Officer; Founding CEO Dr John Clarkson Steps Up to Executive Chairman",2017-10-03 06:00:00 +0000,https://finance.yahoo.com/news/atlas-genetics-appoints-life-sciences-060000648.html?.tsrc=rss,"Atlas Genetics Ltd., the ultra-rapid, point-of-care (POC) testing company for women's and family health, today announced that Jeffrey R. Luber has been appointed Chief Executive Officer effective 1 October 2017.  Dr John Clarkson, current founding CEO, will become Executive Chairman and current chairman, Neil Butler, will remain with the Company as a non-executive director of the Board.  Mr. Luber joins the Board of Atlas Genetics with broad experience in the life sciences industry, including having held multiple leadership roles in both public and private companies."
EXAS,EXAS:US,BBG000CWL0F5,Can Exact Sciences (EXAS) Keep the Earnings Streak Alive This Quarter?,2017-10-02 12:59:12 +0000,https://finance.yahoo.com/news/exact-sciences-exas-keep-earnings-125912465.html?.tsrc=rss,Exact Sciences (EXAS) can be a harbinger of out performance and a signal for a strong earnings profile on the back of its favorable Zacks rank and earnings ESP in the positive territory.
EXAS,EXAS:US,BBG000CWL0F5,See what the IHS Markit Score report has to say about Exact Sciences Corp.,2017-10-02 12:02:50 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120402377.html?.tsrc=rss,Exact Sciences Corp NASDAQ:EXAS
