RESULT_COUNT: 483,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,TITLE,PUBLICATION_DATE,URL,SUMMARY
ACAD,ACAD:UW,BBG000BHGMW8,Implied FXH Analyst Target Price: $74,2017-10-19 13:48:48 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/x3STbBL1Cxo/implied-fxh-analyst-target-price-74-cm861822,Looking at the underlying holdings of the ETFs in our coverage universe at ETF Channel we have compared the trading price of each holding against the average analyst 12 month forward target price and computed the weighted average implied analyst target price for the ETF itself For the
ACAD,ACAD:UW,BBG000BHGMW8,See what the IHS Markit Score report has to say about ACADIA Pharmaceuticals Inc.,2017-10-18 12:02:45 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120245770.html?.tsrc=rss,ACADIA Pharmaceuticals Inc NASDAQ/NGS:ACAD
ACAD,ACAD:UW,BBG000BHGMW8,See what the IHS Markit Score report has to say about ACADIA Pharmaceuticals Inc.,2017-10-16 12:07:36 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120736314.html?.tsrc=rss,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Healthcare sector is rising."
ACAD,ACAD:UW,BBG000BHGMW8,Valeant Reports Positive Results on Psoriasis Drug Siliq,2017-10-13 19:01:07 +0000,https://finance.yahoo.com/news/valeant-reports-positive-results-psoriasis-190107852.html?.tsrc=rss,"Valeant Pharmaceuticals International, Inc. (VRX) announced encouraging results from the long-term phase III extension study, AMAGINE-2 on psoriasis drug Siliq."
ACAD,ACAD:UW,BBG000BHGMW8,Lilly's Verzenio Gets Priority Review in First-Line Setting,2017-10-13 15:18:28 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/tVSPlx-Kjjw/lillys-verzenio-gets-priority-review-in-first-line-setting-cm859350,Eli Lilly and Company LLY announced that the FDA has granted priority review to its new drug application NDA for Verzenio abemaciclib This drug is looking forward to get approved for the first line treatment of advanced breast cancer Markedly the NDA was based upon the positive
ACAD,ACAD:UW,BBG000BHGMW8,Lilly&apos;s Verzenio Gets Priority Review in First-Line Setting,2017-10-13 13:02:01 +0000,https://finance.yahoo.com/news/lilly-apos-verzenio-gets-priority-130201938.html?.tsrc=rss,Eli Lilly and Company (LLY) announced that the FDA has granted priority review to its new drug application for Verzenio (abemaciclib) for the first-line treatment of advanced breast cancer.
ACAD,ACAD:UW,BBG000BHGMW8,See what the IHS Markit Score report has to say about ACADIA Pharmaceuticals Inc.,2017-10-13 12:07:27 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120727551.html?.tsrc=rss,"The last change in the short interest score occurred more than 1 month ago and implies that there has been little change in sentiment among investors who seek to profit from falling equity prices.  Index (PMI) data, output in the Healthcare sector is rising."
ACAD,ACAD:UW,BBG000BHGMW8,Here's Why Intercept (ICPT) Stock Lost 37% So Far in 2017,2017-10-13 01:11:37 +0000,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/UI6rrP0GYao/heres-why-intercept-icpt-stock-lost-37-so-far-in-2017-cm859143,Shares of Intercept Pharmaceuticals Inc ICPT declined 37 4 year to date against the industry s gain of 15 4 160 In particular shares have plunged 40 4 over a month due to safety issues regarding approved drug Ocaliva Per a recent news article prescriptions of the drug
ACAD,ACAD:UW,BBG000BHGMW8,Here&apos;s Why Intercept (ICPT) Stock Lost 37% So Far in 2017,2017-10-12 22:56:10 +0000,https://finance.yahoo.com/news/apos-why-intercept-icpt-stock-225610908.html?.tsrc=rss,Shares of Intercept Pharmaceuticals (ICPT) have plunged 37% in the year so far due to safety issues regarding approved drug Ocaliva.
ACAD,ACAD:UW,BBG000BHGMW8,See what the IHS Markit Score report has to say about ACADIA Pharmaceuticals Inc.,2017-10-12 12:16:09 +0000,https://finance.yahoo.com/news/see-ihs-markit-score-report-120352089.html?.tsrc=rss,ACADIA Pharmaceuticals Inc NASDAQ/NGS:ACAD
